Day,Date,Head Count,Time
Thursday,2024-02-01,9,21:25
Thursday,2024-02-01,5,21:50
Friday,2024-02-02,4,12:05
Friday,2024-02-02,8,12:26
Friday,2024-02-02,5,13:18
Friday,2024-02-02,7,13:24
Friday,2024-02-02,14,14:00
Friday,2024-02-02,12,14:30
Friday,2024-02-02,12,15:00
Friday,2024-02-02,16,15:30
Friday,2024-02-02,8,16:00
Friday,2024-02-02,6,16:45
Friday,2024-02-02,7,17:30
Friday,2024-02-02,10,18:30
Friday,2024-02-02,14,19:00
Friday,2024-02-02,14,19:15
Friday,2024-02-02,10,19:30
Friday,2024-02-02,14,19:45
Friday,2024-02-02,12,20:20
Friday,2024-02-02,15,20:50
Friday,2024-02-02,15,21:40
Friday,2024-02-02,20,22:00
Friday,2024-02-02,13,22:40
Friday,2024-02-02,9,23:30
Friday,2024-02-02,5,23:50
Saturday,2024-02-03,3,21:53
Saturday,2024-02-03,0,22:52
Saturday,2024-02-03,6,23:39
Saturday,2024-02-03,5,00:02
Saturday,2024-02-03,8,00:36
Saturday,2024-02-03,3,14:05
Saturday,2024-02-03,5,14:30
Saturday,2024-02-03,11,15:00
Saturday,2024-02-03,13,15:30
Saturday,2024-02-03,9,16:00
Saturday,2024-02-03,11,17:00
Saturday,2024-02-03,10,17:45
Saturday,2024-02-03,11,18:00
Saturday,2024-02-03,14,18:30
Saturday,2024-02-03,15,19:00
Saturday,2024-02-03,9,19:30
Saturday,2024-02-03,10,20:00
Saturday,2024-02-03,7,20:30
Saturday,2024-02-03,7,21:00
Saturday,2024-02-03,9,21:30
Saturday,2024-02-03,6,22:00
Saturday,2024-02-03,10,22:30
Saturday,2024-02-03,8,23:00
Saturday,2024-02-03,4,23:30
Saturday,2024-02-03,4,14:00
Saturday,2024-02-03,6,14:30
Saturday,2024-02-03,11,15:00
Saturday,2024-02-03,11,15:30
Saturday,2024-02-03,16,16:00
Saturday,2024-02-03,18,16:20
Saturday,2024-02-03,13,16:40
Saturday,2024-02-03,8,17:00
Saturday,2024-02-03,11,17:30
Saturday,2024-02-03,12,18:00
Saturday,2024-02-03,12,18:30
Saturday,2024-02-03,9,19:00
Saturday,2024-02-03,11,19:20
Saturday,2024-02-03,17,19:50
Saturday,2024-02-03,8,20:30
Saturday,2024-02-03,5,21:10
Saturday,2024-02-03,2,21:45
Monday,2024-02-05,4,12:05
Monday,2024-02-05,2,12:13
Monday,2024-02-05,0,12:48
Monday,2024-02-05,1,12:53
Monday,2024-02-05,5,13:04
Monday,2024-02-05,6,13:17
Monday,2024-02-05,7,13:23
Monday,2024-02-05,12,13:34
Monday,2024-02-05,3,13:52
Monday,2024-02-05,2,13:56
Monday,2024-02-05,7,14:45
Monday,2024-02-05,10,14:51
Monday,2024-02-05,7,14:55
Monday,2024-02-05,5,15:08
Monday,2024-02-05,6,15:13
Monday,2024-02-05,4,15:21
Monday,2024-02-05,6,15:28
Monday,2024-02-05,8,15:36
Monday,2024-02-05,6,15:56
Monday,2024-02-05,14,16:30
Monday,2024-02-05,11,17:00
Monday,2024-02-05,11,17:30
Monday,2024-02-05,13,18:00
Monday,2024-02-05,3,18:30
Monday,2024-02-05,3,19:00
Monday,2024-02-05,6,19:30
Monday,2024-02-05,8,20:00
Monday,2024-02-05,5,20:30
Monday,2024-02-05,4,21:00
Monday,2024-02-05,2,21:30
Tuesday,2024-02-06,0,10:52
Tuesday,2024-02-06,0,11:48
Tuesday,2024-02-06,3,12:07
Tuesday,2024-02-06,5,13:02
Tuesday,2024-02-06,1,13:53
Tuesday,2024-02-06,3,14:21
Tuesday,2024-02-06,4,14:21
Tuesday,2024-02-06,1,15:13
Tuesday,2024-02-06,6,15:31
Tuesday,2024-02-06,5,15:49
Tuesday,2024-02-06,2,16:00
Tuesday,2024-02-06,10,17:30
Tuesday,2024-02-06,4,17:50
Tuesday,2024-02-06,4,18:30
Tuesday,2024-02-06,13,19:15
Tuesday,2024-02-06,2,19:50
Tuesday,2024-02-06,2,20:00
Tuesday,2024-02-06,3,20:30
Tuesday,2024-02-06,6,21:00
Tuesday,2024-02-06,5,21:30
Wednesday,2024-02-07,15,12:00
Wednesday,2024-02-07,11,12:30
Wednesday,2024-02-07,20,13:20
Wednesday,2024-02-07,12,14:00
Wednesday,2024-02-07,13,14:25
Wednesday,2024-02-07,12,14:45
Wednesday,2024-02-07,15,15:15
Wednesday,2024-02-07,17,15:45
Wednesday,2024-02-07,17,16:00
