Date,Unique ID,Console,Game,# of Controllers,Time In,Time Out,Duration (minutes)
2023-08-25,1,Wii,Mario Kart,2,12:55,13:29,34
2023-08-25,2,Wii,Mario Kart,3,14:47,15:30,43
2023-08-25,3,Wii,Mario Kart,2,16:58,17:50,52
2023-08-26,4,Wii,Splatoon,1,12:56,13:00,4
2023-08-26,5,Wii,Mario Kart,2,16:43,16:56,13
2023-08-26,4,Wii,Splatoon,1+game pad,17:06,18:45,99
2023-08-26,6,Xbox,Jackbox Party Pack 7,1,18:32,19:18,46
2023-08-26,4,Wii,Donkey Kong Country Returns,1+game pad,19:01,20:17,76
2023-08-26,7,Xbox,FIFA 16,2,19:48,19:56,8
2023-08-26,4,Wii,Splatoon,game pad,22:07,00:02,-1325
2023-08-27,4,Wii,Splatoon,game pad,12:41,13:59,78
2023-08-27,8,Xbox,Minecraft,4,12:53,13:28,35
2023-08-27,9,Xbox,Call of Duty: Black Ops 3,4,13:39,14:08,29
2023-08-27,10,Wii,Mario Kart,2,14:26,15:01,35
2023-08-27,11,Xbox,Halo Infinite,2,14:59,15:12,13
2023-08-27,12,Wii,Mario Kart,3,15:04,15:41,37
2023-08-27,13,Wii,Mario Kart,2,16:03,16:16,13
2023-08-27,14,Xbox,Minecraft,2,18:07,19:41,94
2023-08-28,15,Xbox,Call of Duty: Black Ops 3,4,12:18,13:13,55
2023-08-28,16,Xbox,Unspecified,1,13:58,14:23,25
2023-08-28,17,Wii,Mario Kart,2,14:30,14:36,6
2023-08-28,18,Xbox,Minecraft,2,14:30,14:52,22
2023-08-28,19,Wii,Wii Play,3,18:03,18:14,11
2023-08-28,19,Wii,Unspecified,,18:05,18:14,9
2023-08-28,20,Xbox,Unspecified,4,18:19,18:43,24
2023-08-29,21,Xbox,Call of Duty: Black Ops 3,4,13:39,15:14,95
2023-08-29,22,Xbox,Lego Star Wars: The Skywalker Saga,2,17:14,18:02,48
2023-08-29,9,Xbox,Call of Duty: Black Ops 3,2,18:20,18:58,38
2023-08-30,23,Wii,Unspecified,2,13:15,13:51,36
2023-08-30,24,Wii,Wii Sports,4,14:04,14:50,46
2023-08-30,24,Xbox,NBA 2K22,2,14:51,16:02,71
2023-08-30,25,Xbox,Call of Duty: Black Ops 3,2,16:03,16:46,43
2023-08-30,26,Xbox,Call of Duty: Black Ops 3,1,16:20,16:46,26
2023-08-30,27,Wii,Mario Kart,2,16:28,16:51,23
2023-08-30,26,Wii,Splatoon,1,16:53,17:41,48
2023-08-30,28,Wii,Super Mario: Galaxy,1,18:04,18:21,17
2023-08-30,29,Xbox,Jackbox Party Pack 7,4,21:22,22:12,50
2023-08-31,30,Xbox,Halo 5,2,11:42,12:20,38
2023-08-31,4,Wii,Splatoon,1,15:29,16:03,34
2023-08-31,31,Xbox,FIFA 16,3,18:07,20:00,113
2023-08-31,32,Wii,Splatoon,3,18:28,18:40,12
2023-09-01,4,Wii,Splatoon,1,12:05,12:54,49
2023-09-01,4,Wii,Splatoon,1,15:16,15:38,22
2023-09-01,33,Wii,Just Dance: Greatest Hits,5,18:33,20:05,92
2023-09-01,34,Xbox,Jackbox Party Pack 7,1,20:39,21:59,80
2023-09-01,4,Wii,Splatoon,1,23:16,23:57,41
2023-09-02,35,Xbox,Minecraft,1,12:23,13:15,52
2023-09-02,36,Wii,Mario Party 8,4,13:37,14:00,23
2023-09-02,37,Wii,Mario Kart,2,14:55,17:02,127
2023-09-02,38,Xbox,Minecraft,2,15:45,17:00,75
2023-09-02,4,Wii,Splatoon,1,17:15,17:45,30
2023-09-02,39,Xbox,Forza Horizon 5,1,19:02,21:44,162
2023-09-02,4,Wii,Splatoon,1,20:21,21:01,40
2023-09-02,40,Wii,Mario Kart,2,21:42,22:08,26
2023-09-02,41,Xbox,Jackbox Party Pack 7,1,22:10,22:16,6
2023-09-03,39,Xbox,Madden 22,1,11:44,14:10,146
2023-09-03,42,Wii,Mario Kart,2,13:56,14:37,41
2023-09-03,33,Xbox,Minecraft,4,14:30,14:50,20
2023-09-03,4,Wii,Splatoon,1,14:37,15:30,53
2023-09-03,43,Xbox,FIFA 16,2,15:30,16:43,73
2023-09-03,44,Wii,Mario Kart,4,15:40,16:57,77
2023-09-03,43,Xbox,Call of Duty: Black Ops 3,3,16:45,17:53,68
2023-09-03,45,Wii,Wii Sports,2,17:09,17:54,45
2023-09-03,46,Wii,Mario Kart,3,17:57,19:05,68
2023-09-03,47,Wii,Wii Sports,3,20:18,20:57,39
2023-09-03,30,Wii,Call of Duty: Black Ops 3,2,20:48,21:35,47
2023-09-03,48,Xbox,Unspecified,1,21:05,21:35,30
2023-09-04,35,Xbox,Unspecified,2,12:12,12:59,47
2023-09-04,49,Wii,Wii Sports,3,12:40,13:20,40
2023-09-04,50,Wii,Wii Sports,4,14:05,15:33,88
2023-09-04,39,Xbox,Madden 22,1,14:52,16:47,115
2023-09-04,51,Wii,Wii Sports,3,17:42,18:30,48
2023-09-04,30,Xbox,Lego Star Wars: The Skywalker Saga,2,17:49,19:27,98
2023-09-04,49,Wii,Wii Sports,4,18:39,19:23,44
2023-09-04,52,Wii,Mario Kart,4,19:34,20:20,46
2023-09-04,7,Wii,Mario Kart,4,20:21,20:58,37
2023-09-04,53,Wii,Wii Sports,2,21:46,22:06,20
2023-09-05,54,Xbox,Call of Duty: Black Ops 3,3,14:21,14:42,21
2023-09-05,4,Wii,Splatoon,1,17:46,18:27,41
2023-09-05,4,Wii,Splatoon,1,20:13,21:21,68
2023-09-05,30,Xbox,Lego Star Wars: The Skywalker Saga,2,20:21,21:38,77
2023-09-06,4,Wii,Splatoon,1,12:28,12:43,15
2023-09-06,55,Xbox,Lego Star Wars: The Skywalker Saga,1,14:29,16:00,91
2023-09-06,56,Wii,Mario Kart,2,15:52,16:30,38
2023-09-06,57,Xbox,FIFA 16,2,21:20,21:43,23
2023-09-07,58,Wii,Super Mario: 3D World,3,11:56,12:13,17
2023-09-07,59,Xbox,Guitar Hero 5,7,20:20,21:20,60
2023-09-07,4,Wii,Splatoon,1,21:25,22:07,42
2023-09-08,60,Wii,Mario Kart,2,14:55,15:44,49
2023-09-08,60,Wii,Mario Party 8,2,15:44,17:00,76
2023-09-08,61,Xbox,FIFA 16,2,17:18,18:15,57
2023-09-08,61,Xbox,FIFA 16,2,19:04,19:57,53
2023-09-08,62,Wii,Wii Play,4,19:26,22:00,154
2023-09-08,63,Xbox,Call of Duty: Black Ops 3,2,20:00,20:38,38
2023-09-08,30,Wii,Wii Sports,2,22:30,00:00,-1350
2023-09-09,64,Xbox,Lego Star Wars: The Skywalker Saga,2,12:35,13:22,47
2023-09-09,65,Wii,Super Smash Bros,2,13:33,13:43,10
2023-09-09,65,Xbox,Lego Star Wars: The Skywalker Saga,2,13:43,14:26,43
2023-09-09,66,Wii,Splatoon,2,17:03,17:34,31
2023-09-09,67,Wii,Mario Kart,1,17:36,17:57,21
2023-09-09,61,Xbox,FIFA 16,2,17:38,19:10,92
2023-09-09,30,Xbox,Call of Duty: Black Ops 3,3,20:22,21:04,42
2023-09-09,61,Xbox,FIFA 16,2,21:52,22:45,53
2023-09-10,39,Xbox,Madden 16,1,12:44,14:28,104
2023-09-10,60,Wii,Mario Kart,3,13:22,14:06,44
2023-09-10,68,Wii,Just Dance: Greatest Hits,4,18:01,18:37,36
2023-09-10,69,Xbox,Call of Duty: Black Ops 3,2,18:21,19:37,76
2023-09-10,7,Wii,Mario Kart,3,18:56,19:30,34
2023-09-10,70,Wii,Unspecified,3,19:30,20:34,64
2023-09-10,30,Xbox,Call of Duty: Black Ops 3,4,20:20,22:00,100
2023-09-10,71,Wii,Mario Kart,3,21:41,22:00,19
2023-09-11,72,Xbox,FIFA 16,2,14:46,15:29,43
2023-09-11,72,Wii,Mario Kart,3,15:29,16:24,55
2023-09-11,73,Wii,Unspecified,4,21:27,22:00,33
2023-09-12,74,Xbox,FIFA 16,1,17:00,18:35,95
2023-09-13,61,Xbox,FIFA 16,2,20:14,21:28,74
2023-09-13,75,Wii,Wii Sports,4,20:57,21:29,32
2023-09-13,75,Wii,Mario Kart,4,21:29,21:46,17
2023-09-14,76,Wii,Mario Kart,3,11:33,12:30,57
2023-09-14,77,Xbox,FIFA 16,2,17:35,18:18,43
2023-09-14,78,Xbox,FIFA 16,1,20:17,20:31,14
2023-09-14,41,Wii,Mario Kart,2,21:39,22:00,21
2023-09-15,79,Wii,Mario Kart,2,14:15,15:45,90
2023-09-15,45,Xbox,Forza Horizon 5,2,16:05,17:00,55
2023-09-15,7,Wii,Mario Kart,4,20:26,21:20,54
2023-09-15,80,Wii,Wii Sports,4,21:31,23:30,119
2023-09-15,23,Xbox,Minecraft,2,21:43,21:46,3
2023-09-16,35,Xbox,Unspecified,2,13:46,14:30,44
2023-09-16,81,Xbox,Halo 5,2,14:50,15:28,38
2023-09-16,82,Xbox,NBA 2K22,4,18:05,19:45,100
2023-09-16,30,Xbox,Call of Duty: Black Ops 3,4,19:52,22:16,144
2023-09-16,29,Wii,Mario Party 8,4,21:21,22:26,65
2023-09-16,83,Wii,Mario Kart,2,22:59,23:36,37
2023-09-17,35,Xbox,Unspecified,1,10:22,11:58,96
2023-09-17,84,Wii,Mario Kart,2,13:37,13:57,20
2023-09-17,85,Wii,Wii Sports,2,15:17,15:45,28
2023-09-17,86,Xbox,Call of Duty: Black Ops 3,2,17:13,17:36,23
2023-09-17,62,Xbox,Call of Duty: Black Ops 3,1,19:21,20:00,39
2023-09-17,69,Xbox,Call of Duty: Black Ops 3,3,20:35,21:19,44
2023-09-17,87,Wii,Mario Party 8,2,20:50,21:19,29
2023-09-19,56,Wii,Mario Kart,3,11:27,12:03,36
2023-09-19,88,Xbox,NBA 2k20,2,15:05,16:20,75
2023-09-19,30,Xbox,Call of Duty: Black Ops 3,3,19:37,21:50,133
2023-09-20,89,Xbox,FIFA 16,2,17:16,17:52,36
2023-09-21,56,Wii,Unspecified,3,11:23,12:12,49
2023-09-22,69,Xbox,Call of Duty: Black Ops 3,2,15:45,19:15,210
2023-09-22,90,Xbox,Call of Duty: Black Ops 3,4,19:20,21:44,144
2023-09-22,91,Wii,Wii Sports,3,20:25,20:53,28
2023-09-22,47,Wii,Wii Sports,4,20:53,21:21,28
2023-09-22,92,Wii,Mario Kart,4,21:24,23:28,124
2023-09-23,93,Wii,Mario Kart,3,12:00,12:58,58
2023-09-23,94,Wii,Mario Party 8,2,19:05,19:57,52
2023-09-23,95,Xbox,Minecraft,3,19:29,21:05,96
2023-09-24,35,Xbox,Unspecified,1,12:00,12:15,15
2023-09-24,96,Wii,Wii Sports,3,19:32,21:06,94
2023-09-24,97,Xbox,Call of Duty: Black Ops 3,2,20:59,21:40,41
2023-09-25,98,Xbox,Madden 22,1,14:37,15:21,44
2023-09-25,99,Wii,Mario Kart,2,15:31,16:06,35
2023-09-25,100,Xbox,Madden 22,2,17:00,18:01,61
2023-09-26,56,Wii,Unspecified,3,11:24,12:18,54
2023-09-26,101,Wii,Mario Kart,2 + 2n,15:30,16:02,32
2023-09-26,102,Xbox,FIFA 16,2,19:11,19:35,24
2023-09-27,100,Xbox,Madden 22,1,19:42,20:31,49
2023-09-27,103,Wii,Wii Sports,2,20:03,20:09,6
2023-09-27,61,Xbox,FIFA 16,2,20:43,21:43,60
2023-09-27,104,Wii,Unspecified,2,13:08,13:34,26
2023-09-27,88,Xbox,Madden 22,2,14:04,14:25,21
2023-09-27,105,Wii,Mario Kart,2,14:07,14:24,17
2023-09-27,106,Xbox,Call of Duty: Black Ops 3,3,19:15,20:08,53
